product_id,barcode,name,brand,category,unit,quantity
01310113,3856021300547,ČIPI ČIPS 200g FRANCK,ČIPI ČIPS,HRANA,ko,0.20 kg
01310151,8009750222771,DATULJA EUROCOMPANY DEGLET NOUR 200g,EUROCOMPANY,HRANA,ko,0.20 kg
01310179,5997312702058,ČIPS CHIO TACCOS ŠUNKA 65g,CHIO,HRANA,ko,0.07 kg
01310204,3859888163638,MAK ZRNO 200g ŠAFRAM,ŠAFRAM,HRANA,ko,0.20 kg
01310251,3859888163157,MAK MLJEVENI 200g ŠAFRAM,ŠAFRAM,HRANA,ko,0.20 kg
01310269,3872084001740,MARELICA SUHA,EUROCOMPANY,HRANA,kg,1.00 kg
01310284,3859888163645,ROGAČ MLJEVENI 200g ŠAFRAM,ŠAFRAM,HRANA,ko,0.20 kg
01310397,4001242108215,UMAK SALSA HOT CHIO DIO 200ML,CHIO,HRANA,ko,0.20 l
01310460,3858882290661,ORAH MLJEVENI 200g KRESTO,KRESTO,HRANA,ko,0.20 kg
01310467,3858882290784,MAK MLJEVENI 200g KRESTO,KRESTO,HRANA,ko,0.20 kg
01310469,3858882290807,KOKOS BRAŠNO 200g KRESTO,KRESTO,HRANA,ko,0.20 kg
01310470,3858882290814,GROŽĐICE PREMIUM 200g KRESTO,KRESTO,HRANA,ko,0.20 kg
01310472,3858882290845,GROŽĐICE ZLATNE 200g KRESTO,KRESTO,HRANA,ko,0.20 kg
01310533,3856021300646,ČIPI ČIPS PAPRIKA 190g FRANCK,ČIPI ČIPS,HRANA,ko,0.19 kg
01310671,5997347544395,SUNCOKRET PRŽ SL OLJUŠT 100g MOGYI,MOGYI,HRANA,ko,0.10 kg
01310865,5997347555674,SUNCOKRET PRŽENI 60g MOGYI,MOGYI,HRANA,ko,0.06 kg
01310866,5997347555568,SUNCOKRET PRŽ SL 60g MOGYI,MOGYI,HRANA,ko,0.06 kg
01310956,3859890104681,ORAH NADJEV 200g ŠAFRAM,ŠAFRAM,HRANA,ko,0.20 kg
01310957,3859890104674,MAK NADJEV 200g ŠAFRAM,ŠAFRAM,HRANA,ko,0.20 kg
01311158,3872084014528,SMOKVA EUROCOMPANY SUHA 200g,EUROCOMPANY,HRANA,ko,0.20 kg
01311160,3872084000392,BADEM JEZGRA EUROCOMPANY 100g,EUROCOMPANY,HRANA,ko,0.10 kg
01311183,5053990101597,ČIPS PRINGLES SOUR&CREAM 165g,PRINGLES,HRANA,ko,0.17 kg
01311184,5053990161669,ČIPS PRINGLES PAPRIKA 165g,PRINGLES,HRANA,ko,0.17 kg
01311185,5053990101542,ČIPS PRINGLES HOT&SPICY 165g,PRINGLES,HRANA,ko,0.17 kg
01311186,5053990101573,ČIPS PRINGLES ORGINAL 165g,PRINGLES,HRANA,ko,0.17 kg
01311190,5412514934866,TORTILJA CHIPS BBQ 200g LA FIESTA,LA FIESTA,HRANA,ko,0.20 kg
01311191,3858881582156,ROGAČ MLJEVENI 200g NADALINA,NADALINA,HRANA,ko,0.20 kg
01311719,3858882290593,SEZAM 200g KRESTO,KRESTO,HRANA,ko,0.20 kg
01313112,5412514934897,ČIPS TORTILLA SIR 200g LA FIESTA,LA FIESTA,HRANA,ko,0.20 kg
01318018,4008258038000,ORAH INDIJSKI SEEBERGER 150g,SEEBERGER,HRANA,ko,0.15 kg
01319045,4001242108222,UMAK SALSA MILD CHIO DIP 200g,CHIO,HRANA,ko,0.20 kg
01400000,3850334393135,GLJIVA BUKOVAČA 300 grama,,HRANA,ko,0.30 kg
01400011,3850334013569,GLJIVA ŠAMPINJON 250 grama,KORA,HRANA,ko,0.25 kg
01400034,3850334013576,GLJIVA ŠAMPINJON 500 grama,KORA,HRANA,ko,0.50 kg
01400044,3850334044549,KUKURUZ MLADI 2 KOM,,HRANA,ko,0.40 kg
01400049,3850334172945,PATLIĐAN,,HRANA,kg,1.00 kg
01400052,konzum:01400052,KUPUS KISELI GLAVE CIBURI,,HRANA,kg,1.00 kg
01400070,3850334021243,MRKVA 1/1 PAK,,HRANA,ko,1.00 kg
01400078,3859891493036,KUPUS KISELI REZANI 500g MADIG,,HRANA,ko,0.50 kg
01400082,3859891493012,KUPUS KISELI GLAVE MADIG,,HRANA,kg,1.00 kg
